NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y
0.2320000000000002,0.2320000000000002,0.2320000000000002,0.2,0.2320000000000002,0.2753397149937514,0.2320000000000002,0.05365392051599205,0.2320000000000002,25.03659854513532,0.2320000000000002,51.8616990843629,0.2320000000000002,2.392374912093158e-06,0.2320000000000002,0.0001240726277879545,0.2320000000000002,-1.00263857599337e-14,0.2320000000000002,4.955650328051241e-06,0.2320000000000002,-7.185973929054884e-15,0.2320000000000002,-2.910388270633993e-15,0.2320000000000002,-5.337989584221237e-15
0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2,0.2400000000000002,0.2753397149937514,0.2400000000000002,0.05549616221740761,0.2400000000000002,24.60666692349618,0.2400000000000002,51.1623143007566,0.2400000000000002,2.907026275682002e-06,0.2400000000000002,0.0001487301919970005,0.2400000000000002,-1.145491216883936e-14,0.2400000000000002,6.044304678274814e-06,0.2400000000000002,-7.366481780196165e-15,0.2400000000000002,-2.913066694297784e-15,0.2400000000000002,-5.340515125004672e-15
0.2480000000000002,0.2480000000000002,0.2480000000000002,0.2,0.2480000000000002,0.2753397149937514,0.2480000000000002,0.05757894227728873,0.2480000000000002,24.14822101682122,0.2480000000000002,50.39809486718286,0.2480000000000002,3.519823457337621e-06,0.2480000000000002,0.000177392396518637,0.2480000000000002,-1.29985750906952e-14,0.2480000000000002,7.345981983534309e-06,0.2480000000000002,-7.557990183165567e-15,0.2480000000000002,-2.916325423810382e-15,0.2480000000000002,-5.343340406246058e-15
0.2560000000000002,0.2560000000000002,0.2560000000000002,0.2,0.2560000000000002,0.2753397149937514,0.2560000000000002,0.0599135035829198,0.2560000000000002,23.65732889691752,0.2560000000000002,49.55180922278735,0.2560000000000002,4.246305016578886e-06,0.2560000000000002,0.0002104120960832818,0.2560000000000002,-1.461283312283932e-14,0.2560000000000002,8.894161171167791e-06,0.2560000000000002,-7.754730312987754e-15,0.2560000000000002,-2.920244729886203e-15,0.2560000000000002,-5.346436393671141e-15
0.2640000000000002,0.2640000000000002,0.2640000000000002,0.2,0.2640000000000002,0.2753397149937514,0.2640000000000002,0.06250802247803122,0.2640000000000002,23.13124210161315,0.2640000000000002,48.60710751053318,0.2640000000000002,5.103792521561665e-06,0.2640000000000002,0.0002480805918070031,0.2640000000000002,-1.624694526991269e-14,0.2640000000000002,1.072491441325642e-05,0.2640000000000002,-7.950500334048412e-15,0.2640000000000002,-2.924903535887147e-15,0.2640000000000002,-5.349765599800126e-15
0.2720000000000002,0.2720000000000002,0.2720000000000002,0.2,0.2720000000000002,0.2753397149937514,0.2720000000000002,0.06536726333783134,0.2720000000000002,22.56875607389668,0.2720000000000002,47.54968472611456,0.2720000000000002,6.111551763504753e-06,0.2720000000000002,0.0002906023595419804,0.2720000000000002,-1.785091369360324e-14,0.2720000000000002,1.287631265965439e-05,0.2720000000000002,-8.139487753624262e-15,0.2720000000000002,-2.930378184637728e-15,0.2720000000000002,-5.353288654489931e-15
0.2800000000000002,0.2800000000000002,0.2800000000000002,0.2,0.2800000000000002,0.2753397149937514,0.2800000000000002,0.06849238114485248,0.2800000000000002,21.97039568708404,0.2800000000000002,46.36827708281689,0.2800000000000002,7.291029949020558e-06,0.2800000000000002,0.0003380724968953015,0.2800000000000002,-1.938170615934461e-14,0.2800000000000002,1.538763806147118e-05,0.2800000000000002,-8.31694718557696e-15,0.2800000000000002,-2.936742312966526e-15,0.2800000000000002,-5.356970619900174e-15
0.2880000000000002,0.2880000000000002,0.2880000000000002,0.2,0.2880000000000002,0.2753397149937514,0.2880000000000002,0.07188088477076039,0.2880000000000002,21.33841101596168,0.2880000000000002,45.05542014979875,0.2880000000000002,8.666205836985006e-06,0.2880000000000002,0.0003904595450899978,0.2880000000000002,-2.080727181683213e-14,0.2880000000000002,1.829843584897861e-05,0.2880000000000002,-8.479583973207582e-15,0.2880000000000002,-2.944067783146214e-15,0.2880000000000002,-5.360785587564232e-15
0.2960000000000002,0.2960000000000002,0.2960000000000002,0.2,0.2960000000000002,0.2753397149937514,0.2960000000000002,0.07552676014888371,0.2960000000000002,20.67660119767607,0.2960000000000002,43.60794021981444,0.2960000000000002,1.026409066133795e-05,0.2960000000000002,0.0004475958519703809,0.2960000000000002,-2.210786633400293e-14,0.2960000000000002,2.164745780487642e-05,0.2960000000000002,-8.625616478965616e-15,0.2960000000000002,-2.952426399518564e-15,0.2960000000000002,-5.364718938893097e-15
0.3040000000000002,0.3040000000000002,0.3040000000000002,0.2,0.3040000000000002,0.2753397149937514,0.3040000000000002,0.07942073960242627,0.3040000000000002,19.99000853020701,0.3040000000000002,42.02718568411441,0.3040000000000002,1.211541443671495e-05,0.3040000000000002,0.0005091767721718195,0.3040000000000002,-2.327512169243737e-14,0.3040000000000002,2.547156352668971e-05,0.3040000000000002,-8.754590193775402e-15,0.3040000000000002,-2.961892051911857e-15,0.3040000000000002,-5.368767479496238e-15
0.3120000000000002,0.3120000000000002,0.3120000000000002,0.2,0.3120000000000002,0.2753397149937514,0.3120000000000002,0.08355069284790195,0.3120000000000002,19.284537006481,0.3120000000000002,40.31902690503701,0.3120000000000002,1.42555253378418e-05,0.3120000000000002,0.0005747689096418805,0.3120000000000002,-2.430976128462801e-14,0.3120000000000002,2.980465175041423e-05,0.3120000000000002,-8.867059145074141e-15,0.3120000000000002,-2.972542962712706e-15,0.3120000000000002,-5.372938133114083e-15
