NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2567686427463655,0.1360000000000001,0.04468205412134591,0.1360000000000001,29.25103681733265,0.1360000000000001,78.76561870758168,0.1360000000000001,1.403956579454103e-07,0.1360000000000001,1.105835086192825e-05,0.1360000000000001,-3.892748475390386e-15,0.1360000000000001,3.780498769137484e-07,0.1360000000000001,-2.901363583708689e-15,0.1360000000000001,-5.327616136323559e-15,0.1360000000000001,-6.360457694724751e-15
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2567686427463655,0.1440000000000001,0.04505741376450863,0.1440000000000001,28.89070725226816,0.1440000000000001,77.83764946712574,0.1440000000000001,1.770610741587911e-07,0.1440000000000001,1.378201782464474e-05,0.1440000000000001,-4.197776751377028e-15,0.1440000000000001,4.770398215137843e-07,0.1440000000000001,-2.901777906292095e-15,0.1440000000000001,-5.32815361022782e-15,0.1440000000000001,-6.406777690616705e-15
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2567686427463655,0.1520000000000001,0.04551640461474416,0.1520000000000001,28.52074852876884,0.1520000000000001,76.8907229820293,0.1520000000000001,2.226270135943058e-07,0.1520000000000001,1.711795203059624e-05,0.1520000000000001,-4.592245275829563e-15,0.1520000000000001,6.001929444324326e-07,0.1520000000000001,-2.902316433898129e-15,0.1520000000000001,-5.328843691704796e-15,0.1520000000000001,-6.465942104066363e-15
0.1600000000000001,0.1600000000000001,0.1600000000000001,0.2,0.1600000000000001,0.2567686427463655,0.1600000000000001,0.04607386666988161,0.1600000000000001,28.14311273875057,0.1600000000000001,75.93050115545036,0.1600000000000001,2.790511128534311e-07,0.1600000000000001,2.118849084694716e-05,0.1600000000000001,-5.099944159934309e-15,0.1600000000000001,7.528837001740585e-07,0.1600000000000001,-2.903015173600795e-15,0.1600000000000001,-5.329725816629965e-15,0.1600000000000001,-6.541063987393819e-15
0.1680000000000001,0.1680000000000001,0.1680000000000001,0.2,0.1680000000000001,0.2567686427463655,0.1680000000000001,0.04674607593109798,0.1680000000000001,27.75922959891463,0.1680000000000001,74.96093625469518,0.1680000000000001,3.486695870261501e-07,0.1680000000000001,2.613659868701813e-05,0.1680000000000001,-5.749090756036152e-15,0.1680000000000001,9.415462558144729e-07,0.1680000000000001,-2.903919672653166e-15,0.1680000000000001,-5.33084686134368e-15,0.1680000000000001,-6.635702467793179e-15
0.1760000000000001,0.1760000000000001,0.1760000000000001,0.2,0.1760000000000001,0.2567686427463655,0.1760000000000001,0.04755053979051947,0.1760000000000001,27.36971007351787,0.1760000000000001,73.98331498312362,0.1760000000000001,4.342583910616709e-07,0.1760000000000001,3.212787532998007e-05,0.1760000000000001,-6.571681073681844e-15,0.1760000000000001,1.173847850405775e-06,0.1760000000000001,-2.905086903458386e-15,0.1760000000000001,-5.332260650970216e-15,0.1760000000000001,-6.753713683562981e-15
0.1840000000000001,0.1840000000000001,0.1840000000000001,0.2,0.1840000000000001,0.2567686427463655,0.1840000000000001,0.04850569103867698,0.1840000000000001,26.97409596044432,0.1840000000000001,72.9953897321537,0.1840000000000001,5.391005278464248e-07,0.1840000000000001,3.935185313495956e-05,0.1840000000000001,-7.601596536596449e-15,0.1840000000000001,1.458875700547188e-06,0.1840000000000001,-2.906587084452642e-15,0.1840000000000001,-5.334026043816073e-15,0.1840000000000001,-6.898941067358995e-15
0.1920000000000001,0.1920000000000001,0.1920000000000001,0.2,0.1920000000000001,0.2567686427463655,0.1920000000000001,0.04963048080413526,0.1920000000000001,26.57070995509126,0.1920000000000001,71.99074843671687,0.1920000000000001,6.670583724945595e-07,0.1920000000000001,4.802203148686161e-05,0.1920000000000001,-8.870963802480123e-15,0.1920000000000001,1.807329633792175e-06,0.1920000000000001,-2.908505129638298e-15,0.1920000000000001,-5.336203038627091e-15,0.1920000000000001,-7.07470255512166e-15
0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2,0.2000000000000001,0.2567686427463655,0.2000000000000001,0.05094388006493527,0.2000000000000001,26.15665529452384,0.2000000000000001,70.95856819747335,0.2000000000000001,8.226492443329645e-07,0.2000000000000001,5.837401250660058e-05,0.2000000000000001,-1.040455770902981e-14,0.2000000000000001,2.231707833248919e-06,0.2000000000000001,-2.910941314432682e-15,0.2000000000000001,-5.338846664686959e-15,0.2000000000000001,-7.283078727023978e-15
0.2080000000000001,0.2080000000000001,0.2080000000000001,0.2,0.2080000000000001,0.2567686427463655,0.2080000000000001,0.05246430937824052,0.2080000000000001,25.72799496151367,0.2080000000000001,69.8838567597325,0.2080000000000001,1.011122124760189e-06,0.2080000000000001,7.066111373333741e-05,0.2080000000000001,-1.221276543132752e-14,0.2080000000000001,2.746467956198073e-06,0.2080000000000001,-2.914010723700152e-15,0.2080000000000001,-5.341999164550953e-15,0.2080000000000001,-7.524097659064796e-15
