NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:self_gain X,NM0:self_gain Y
0.1680000000000001,0.1680000000000001,0.1680000000000001,0.2,0.1680000000000001,0.2337845729304348,0.1680000000000001,0.04895290259169297,0.1680000000000001,27.16521877041594,0.1680000000000001,1.269295812759056e-07,0.1680000000000001,1.754868352763513e-05,0.1680000000000001,-1.669391415071726e-14,0.1680000000000001,6.459982406896477e-07,0.1680000000000001,-8.289973912613414e-15,0.1680000000000001,-2.921533898491289e-15,0.1680000000000001,-5.350670923865057e-15,0.1680000000000001,138.2552699791054
0.1760000000000001,0.1760000000000001,0.1760000000000001,0.2,0.1760000000000001,0.2337845729304348,0.1760000000000001,0.05027391613696419,0.1760000000000001,26.70815615498962,0.1760000000000001,1.580652549010233e-07,0.1760000000000001,2.140253174906293e-05,0.1760000000000001,-2.046231151138671e-14,0.1760000000000001,8.013481586210683e-07,0.1760000000000001,-8.822900614206131e-15,0.1760000000000001,-2.928041867203419e-15,0.1760000000000001,-5.357416428876979e-15,0.1760000000000001,135.4031394341829
0.1840000000000001,0.1840000000000001,0.1840000000000001,0.2,0.1840000000000001,0.2337845729304348,0.1840000000000001,0.05180630292341401,0.1840000000000001,26.24061070680337,0.1840000000000001,1.9627266950574e-07,0.1840000000000001,2.598843185870262e-05,0.1840000000000001,-2.496847899192457e-14,0.1840000000000001,9.903897494947888e-07,0.1840000000000001,-9.447968870844455e-15,0.1840000000000001,-2.936346755900311e-15,0.1840000000000001,-5.365580257084881e-15,0.1840000000000001,132.4098353792583
0.1920000000000001,0.1920000000000001,0.1920000000000001,0.2,0.1920000000000001,0.2337845729304348,0.1920000000000001,0.05356779310440765,0.1920000000000001,25.75800278541782,0.1920000000000001,2.430270751525913e-07,0.1920000000000001,3.140899198246562e-05,0.1920000000000001,-3.019847209770686e-14,0.1920000000000001,1.219387708348993e-06,0.1920000000000001,-1.015945650233875e-14,0.1920000000000001,-2.946841594038443e-15,0.1920000000000001,-5.375252106097328e-15,0.1920000000000001,129.2407109896896
0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2,0.2000000000000001,0.2337845729304348,0.2000000000000001,0.05557432643222805,0.2000000000000001,25.25542353788028,0.2000000000000001,3.000794182162826e-07,0.2000000000000001,3.776783344938836e-05,0.2000000000000001,-3.606586647146705e-14,0.2000000000000001,1.49543457065061e-06,0.2000000000000001,-1.094243740991893e-14,0.2000000000000001,-2.95995538522184e-15,0.2000000000000001,-5.386447452449396e-15,0.2000000000000001,125.8594597186507
0.2080000000000001,0.2080000000000001,0.2080000000000001,0.2,0.2080000000000001,0.2337845729304348,0.2080000000000001,0.05783948500321278,0.2080000000000001,24.72824342818232,0.2080000000000001,3.695000718827777e-07,0.2080000000000001,4.516464589860876e-05,0.2080000000000001,-4.241059621374936e-14,0.2080000000000001,1.826439715996968e-06,0.2080000000000001,-1.177336571057163e-14,0.2080000000000001,-2.976139867508553e-15,0.2080000000000001,-5.399101379816354e-15,0.2080000000000001,122.2317648504736
0.2160000000000001,0.2160000000000001,0.2160000000000001,0.2,0.2160000000000001,0.2337845729304348,0.2160000000000001,0.06037400272959305,0.2160000000000001,24.17270382546998,0.2160000000000001,4.537299536473927e-07,0.2160000000000001,5.368939207420566e-05,0.2160000000000001,-4.90165058410541e-14,0.2160000000000001,2.221075162596274e-06,0.2160000000000001,-1.262290859232422e-14,0.2160000000000001,-2.995855769203743e-15,0.2160000000000001,-5.413081484377784e-15,0.2160000000000001,118.3289567783954
0.2240000000000001,0.2240000000000001,0.2240000000000001,0.2,0.2240000000000001,0.2337845729304348,0.2240000000000001,0.06318538370866547,0.2240000000000001,23.58640150439507,0.2240000000000001,5.556423458069916e-07,0.2240000000000001,6.341612277444082e-05,0.2240000000000001,-5.564406853958773e-14,0.2240000000000001,2.688673080030289e-06,0.2240000000000001,-1.346036278243684e-14,0.2240000000000001,-3.019562293259691e-15,0.2240000000000001,-5.428217552197991e-15,0.2240000000000001,114.1311911393972
0.2320000000000002,0.2320000000000002,0.2320000000000002,0.2,0.2320000000000002,0.2337845729304348,0.2320000000000002,0.06627765389160996,0.2320000000000002,22.96859980709392,0.2320000000000002,6.786203597585657e-07,0.2320000000000002,7.4396999629146e-05,0.2320000000000002,-6.206775735048655e-14,0.2320000000000002,3.239074225641036e-06,0.2320000000000002,-1.425825622545013e-14,0.2320000000000002,-3.047712741644505e-15,0.2320000000000002,-5.444338700400041e-15,0.2320000000000002,109.6297783573932
0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2,0.2400000000000002,0.2337845729304348,0.2400000000000002,0.06965126047221072,0.2400000000000002,22.32033588777053,0.2400000000000002,8.26656849738657e-07,0.2400000000000002,8.665717669775058e-05,0.2400000000000002,-6.810617257118815e-14,0.2400000000000002,3.882431569955138e-06,0.2400000000000002,-1.499573244544157e-14,0.2400000000000002,-3.080757284534448e-15,0.2400000000000002,-5.461306560795242e-15,0.2400000000000002,104.8284747475894
