PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.2621414054296405,0.3600000000000003,-0.1139975825179586,0.3600000000000003,14.55108681910272,0.3600000000000003,61.83713170989404,0.3600000000000003,2.261742539663027e-06,0.3600000000000003,0.0001398596713190128,0.3600000000000003,-4.150775566625989e-14,0.3600000000000003,-9.611630599017008e-06,0.3600000000000003,-1.558907364478988e-14,0.3600000000000003,-3.265868840436808e-15,0.3600000000000003,-8.138272168744218e-15
0.3680000000000003,-0.3680000000000003,0.3680000000000003,-0.2,0.3680000000000003,-0.2621414054296405,0.3680000000000003,-0.1195919141992653,0.3680000000000003,13.93041817264317,0.3680000000000003,54.77243640591803,0.3680000000000003,2.739491237341938e-06,0.3680000000000003,0.000150048609581881,0.3680000000000003,-4.234216376343422e-14,0.3680000000000003,-1.07712925572442e-05,0.3680000000000003,-1.570941402288922e-14,0.3680000000000003,-3.289938420477292e-15,0.3680000000000003,-8.148951765976938e-15
0.3760000000000003,-0.3760000000000003,0.3760000000000003,-0.2,0.3760000000000003,-0.2621414054296405,0.3760000000000003,-0.1253035330802404,0.3760000000000003,13.33173358940871,0.3760000000000003,48.19496797688186,0.3760000000000003,3.322805595372878e-06,0.3760000000000003,0.0001601425092623997,0.3760000000000003,-4.307003858246452e-14,0.3760000000000003,-1.201212941953894e-05,0.3760000000000003,-1.581213064242955e-14,0.3760000000000003,-3.316421051837662e-15,0.3760000000000003,-8.160125123696548e-15
0.3840000000000003,-0.3840000000000003,0.3840000000000003,-0.2,0.3840000000000003,-0.2621414054296405,0.3840000000000003,-0.1311199822773349,0.3840000000000003,12.75587488706839,0.3840000000000003,42.14065190218146,0.3840000000000003,4.03590218806736e-06,0.3840000000000003,0.0001700755492185991,0.3840000000000003,-4.370750162491949e-14,0.3840000000000003,-1.333311519003631e-05,0.3840000000000003,-1.590005494568713e-14,0.3840000000000003,-3.345496117988254e-15,0.3840000000000003,-8.171855831717887e-15
0.3920000000000003,-0.3920000000000003,0.3920000000000003,-0.2,0.3920000000000003,-0.2621414054296405,0.3920000000000003,-0.1370297604861551,0.3920000000000003,12.20313060651783,0.3920000000000003,36.63113393656499,0.3920000000000003,4.907988742198678e-06,0.3920000000000003,0.0001797851929746329,0.3920000000000003,-4.426851939253717e-14,0.3920000000000003,-1.473271070941144e-05,0.3920000000000003,-1.597560103805414e-14,0.3920000000000003,-3.377362177762433e-15,0.3920000000000003,-8.184208689320632e-15
0.4000000000000003,-0.4000000000000004,0.4000000000000003,-0.2,0.4000000000000003,-0.2621414054296405,0.4000000000000003,-0.1430223673743799,0.4000000000000003,11.6733309987871,0.4000000000000003,31.67382333743591,0.4000000000000003,5.973756748189529e-06,0.4000000000000003,0.0001892117159029708,0.4000000000000003,-4.476497195712426e-14,0.4000000000000003,-1.620888809911875e-05,0.4000000000000003,-1.604079384010959e-14,0.4000000000000003,-3.412237992302423e-15,0.4000000000000003,-8.197249521479394e-15
0.4080000000000003,-0.4080000000000004,0.4080000000000003,-0.2,0.4080000000000003,-0.2621414054296405,0.4080000000000003,-0.1490883145592591,0.4080000000000003,11.16594702022496,0.4080000000000003,27.26261993897009,0.4080000000000003,7.273612852117534e-06,0.4080000000000003,0.0001982977427704886,0.4080000000000003,-4.52068315930728e-14,0.4080000000000003,-1.775915132067517e-05,0.4080000000000003,-1.609731182328411e-14,0.4080000000000003,-3.450363472538743e-15,0.4080000000000003,-8.211045202164319e-15
0.4160000000000003,-0.4160000000000004,0.4160000000000003,-0.2,0.4160000000000003,-0.2621414054296405,0.4160000000000003,-0.1552191091135948,0.4160000000000003,10.68019097581385,0.4160000000000003,23.37929078043637,0.4160000000000003,8.853477115728085e-06,0.4160000000000003,0.000206988015906546,0.4160000000000003,-4.560238914879113e-14,0.4160000000000003,-1.938055380990856e-05,0.4160000000000003,-1.614653447946645e-14,0.4160000000000003,-3.492000569105286e-15,0.4160000000000003,-8.22566378736832e-15
0.4240000000000003,-0.4240000000000004,0.4240000000000003,-0.2,0.4240000000000003,-0.2621414054296405,0.4240000000000003,-0.1614072161335019,0.4240000000000003,10.21511663167101,0.4240000000000003,19.99539171461424,0.4240000000000003,1.076396043322075e-05,0.4240000000000003,0.0002152296052628577,0.4240000000000003,-4.595848995676429e-14,0.4240000000000003,-2.106971589495698e-05,0.4240000000000003,-1.618958878218752e-14,0.4240000000000003,-3.537434105043887e-15,0.4240000000000003,-8.241174688316367e-15
0.4320000000000003,-0.4320000000000004,0.4320000000000003,-0.2,0.4320000000000003,-0.2621414054296405,0.4320000000000003,-0.167646006228595,0.4320000000000003,9.769715806073254,0.4320000000000003,17.07457058931888,0.4320000000000003,1.305876012376157e-05,0.4320000000000003,0.0002229727215421496,0.4320000000000003,-4.628075780587998e-14,0.4320000000000003,-2.28228462289382e-05,0.4320000000000003,-1.622739164853657e-14,0.4320000000000003,-3.586972533997675e-15,0.4320000000000003,-8.25764883612066e-15
