PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cdb X,PM0:cdb Y,PM0:cgd X,PM0:cgd Y
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.2601822703780106,0.3360000000000002,-0.09854869429548356,0.3360000000000002,16.35784658165077,0.3360000000000002,92.78064482837435,0.3360000000000002,1.032546864727317e-06,0.3360000000000002,9.580036392491666e-05,0.3360000000000002,-4.463230413431345e-14,0.3360000000000002,-5.856538844963909e-06,0.3360000000000002,-1.626889978034585e-14,0.3360000000000002,-8.132566730575235e-15,0.3360000000000002,-3.241211881845865e-15
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.2601822703780106,0.3440000000000003,-0.1037104021049645,0.3440000000000003,15.68683437092833,0.3440000000000003,83.42566867153167,0.3440000000000003,1.251812348348687e-06,0.3440000000000003,0.0001044332822122696,0.3440000000000003,-4.606707255670842e-14,0.3440000000000003,-6.657384131388051e-06,0.3440000000000003,-1.648834873667139e-14,0.3440000000000003,-8.14410451525651e-15,0.3440000000000003,-3.263486819514121e-15
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.2601822703780106,0.3520000000000003,-0.1090262183307847,0.3520000000000003,15.03233041583803,0.3520000000000003,74.49999815187716,0.3520000000000003,1.518912249183063e-06,0.3520000000000003,0.0001131589597570018,0.3520000000000003,-4.731431937185272e-14,0.3520000000000003,-7.527705726732819e-06,0.3520000000000003,-1.66754888028614e-14,0.3520000000000003,-8.156054880914514e-15,0.3520000000000003,-3.288173243608343e-15
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.2601822703780106,0.3600000000000003,-0.1144818398318184,0.3600000000000003,14.39707127938558,0.3600000000000003,66.07694958354337,0.3600000000000003,1.845034898050215e-06,0.3600000000000003,0.0001219142779383422,0.3600000000000003,-4.839803904692652e-14,0.3600000000000003,-8.46799155001256e-06,0.3600000000000003,-1.683483750924073e-14,0.3600000000000003,-8.168486144411867e-15,0.3600000000000003,-3.315442392235104e-15
0.3680000000000003,-0.3680000000000003,0.3680000000000003,-0.2,0.3680000000000003,-0.2601822703780106,0.3680000000000003,-0.1200635659452556,0.3680000000000003,13.78303612367997,0.3680000000000003,58.21540501249268,0.3680000000000003,2.244059927379624e-06,0.3680000000000003,0.0001306388575447097,0.3680000000000003,-4.934112916669742e-14,0.3680000000000003,-9.478235156089508e-06,0.3680000000000003,-1.697058350262927e-14,0.3680000000000003,-8.181471441759985e-15,0.3680000000000003,-3.345484635508959e-15
0.3760000000000003,-0.3760000000000003,0.3760000000000003,-0.2,0.3760000000000003,-0.2601822703780106,0.3760000000000003,-0.1257584677751464,0.3760000000000003,13.19150715659191,0.3760000000000003,50.95869462763759,0.3760000000000003,2.733103674902089e-06,0.3760000000000003,0.0001392753955550097,0.3760000000000003,-5.016442198244918e-14,0.3760000000000003,-1.055795929169477e-05,0.3760000000000003,-1.708645482065947e-14,0.3760000000000003,-8.19508694145723e-15,0.3760000000000003,-3.378511241780055e-15
0.3840000000000003,-0.3840000000000003,0.3840000000000003,-0.2,0.3840000000000003,-0.2601822703780106,0.3840000000000003,-0.1315545064292845,0.3840000000000003,12.62314753105438,0.3840000000000003,44.33405940248285,0.3840000000000003,3.333094298100822e-06,0.3840000000000003,0.0001477696006060787,0.3840000000000003,-5.088625959915838e-14,0.3840000000000003,-1.170624047947788e-05,0.3840000000000003,-1.71856755784166e-14,0.3840000000000003,-8.209410819290031e-15,0.3840000000000003,-3.414755915547005e-15
0.3920000000000003,-0.3920000000000003,0.3920000000000003,-0.2,0.3920000000000003,-0.2601822703780106,0.3920000000000003,-0.1374406057294252,0.3920000000000003,12.0780897990766,0.3920000000000003,38.35274970422367,0.3920000000000003,4.06932589347972e-06,0.3920000000000003,0.0001560698374575441,0.3920000000000003,-5.152242100587191e-14,0.3920000000000003,-1.292173183460113e-05,0.3920000000000003,-1.727097716978482e-14,0.3920000000000003,-8.224522774128131e-15,0.3920000000000003,-3.454476188018397e-15
0.4000000000000003,-0.4000000000000004,0.4000000000000003,-0.2,0.4000000000000003,-0.2601822703780106,0.4000000000000003,-0.1434066859753767,0.4000000000000003,11.55603025208441,0.4000000000000003,33.01078525802393,0.4000000000000003,4.971909199189142e-06,0.4000000000000003,0.0001641266268968265,0.4000000000000003,-5.208625530217761e-14,0.4000000000000003,-1.420268234998452e-05,0.4000000000000003,-1.734463925805571e-14,0.4000000000000003,-8.240503896850322e-15,0.4000000000000003,-3.497954713142574e-15
0.4080000000000003,-0.4080000000000004,0.4080000000000003,-0.2,0.4080000000000003,-0.2601822703780106,0.4080000000000003,-0.1494436657184023,0.4080000000000003,11.05632627576561,0.4080000000000003,28.29035263071994,0.4080000000000003,6.075999762606549e-06,0.4080000000000003,0.0001718921758683099,0.4080000000000003,-5.258892005753166e-14,0.4080000000000003,-1.554695217754255e-05,0.4080000000000003,-1.740854403292124e-14,0.4080000000000003,-8.257436746503251e-15,0.4080000000000003,-3.545500495075844e-15
