PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vth X,PM0:vth Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:gds X,PM0:gds Y
0.2080000000000001,-0.2080000000000002,0.2080000000000001,-0.2,0.2080000000000001,-0.2566417921368623,0.2080000000000001,-0.04586024798115054,0.2080000000000001,25.49976641768159,0.2080000000000001,293.7367490444014,0.2080000000000001,7.283966138048963e-06,0.2080000000000001,-1.058345255491932e-14,0.2080000000000001,-2.856483474981271e-07,0.2080000000000001,-1.039054462641551e-14,0.2080000000000001,-3.109276796222581e-15,0.2080000000000001,-8.013538106923432e-15,0.2080000000000001,2.479759908062411e-08
0.2160000000000001,-0.2160000000000002,0.2160000000000001,-0.2,0.2160000000000001,-0.2566417921368623,0.2160000000000001,-0.04741846329794227,0.2160000000000001,25.10556009033128,0.2160000000000001,286.1082317682578,0.2160000000000001,8.780477905441556e-06,0.2160000000000001,-1.252893334128259e-14,0.2160000000000001,-3.497423628306759e-07,0.2160000000000001,-1.077624030698024e-14,0.2160000000000001,-3.111887015912465e-15,0.2160000000000001,-8.018259325235433e-15,0.2160000000000001,3.06893578390767e-08
0.2240000000000001,-0.2240000000000002,0.2240000000000001,-0.2,0.2240000000000001,-0.2566417921368623,0.2240000000000001,-0.04919169409211045,0.2240000000000001,24.68764683005382,0.2240000000000001,277.8409981299039,0.2240000000000001,1.053743945302961e-05,0.2240000000000001,-1.487651035183127e-14,0.2240000000000001,-4.268304519379246e-07,0.2240000000000001,-1.123528077065399e-14,0.2240000000000001,-3.115182002984543e-15,0.2240000000000001,-8.023990880541619e-15,0.2240000000000001,3.792615029443155e-08
0.2320000000000002,-0.2320000000000002,0.2320000000000002,-0.2,0.2320000000000002,-0.2566417921368623,0.2320000000000002,-0.05119300604770484,0.2320000000000002,24.24132840774564,0.2320000000000002,268.873975461674,0.2320000000000002,1.258400519199979e-05,0.2320000000000002,-1.765487399503629e-14,0.2320000000000002,-5.191136797887666e-07,0.2320000000000002,-1.177065036339594e-14,0.2320000000000002,-3.119313239368758e-15,0.2320000000000002,-8.030844971330227e-15,0.2320000000000002,4.68026151299777e-08
0.2400000000000002,-0.2400000000000002,0.2400000000000002,-0.2,0.2400000000000002,-0.2566417921368623,0.2400000000000002,-0.05343327851039063,0.2400000000000002,23.76279743972246,0.2400000000000002,259.1668922406704,0.2400000000000002,1.494725360198353e-05,0.2400000000000002,-2.086841261310726e-14,0.2400000000000002,-6.290191060458341e-07,0.2400000000000002,-1.238044100406278e-14,0.2400000000000002,-3.124451665610191e-15,0.2400000000000002,-8.038900981939972e-15,0.2400000000000002,5.76742402270389e-08
0.2480000000000002,-0.2480000000000002,0.2480000000000002,-0.2,0.2480000000000002,-0.2566417921368623,0.2480000000000002,-0.05592083976355965,0.2480000000000002,23.24958690557702,0.2480000000000002,248.7068605608909,0.2480000000000002,1.765054347966727e-05,0.2480000000000002,-2.448860095353943e-14,0.2480000000000002,-7.591766491178888e-07,0.2480000000000002,-1.305660984001477e-14,0.2480000000000002,-3.130784435035075e-15,0.2480000000000002,-8.048190209535125e-15,0.2480000000000002,7.096926654882481e-08
0.2560000000000002,-0.2560000000000002,0.2560000000000002,-0.2,0.2560000000000002,-0.2566417921368623,0.2560000000000002,-0.05866120319329206,0.2560000000000002,22.70086725700608,0.2560000000000002,237.5125231802576,0.2560000000000002,2.071187920871638e-05,0.2560000000000002,-2.844957032055002e-14,0.2560000000000002,-9.123827285934129e-07,0.2560000000000002,-1.378462825350322e-14,0.2560000000000002,-3.138509914657923e-15,0.2560000000000002,-8.058686173167314e-15,0.2560000000000002,8.720331429849416e-08
0.2640000000000002,-0.2640000000000002,0.2640000000000002,-0.2,0.2640000000000002,-0.2566417921368623,0.2640000000000002,-0.06165692026060257,0.2640000000000002,22.11755821855836,0.2640000000000002,225.6353087816247,0.2640000000000002,2.414245211569954e-05,0.2640000000000002,-3.265068491093913e-14,0.2640000000000002,-1.091551421625407e-06,0.2640000000000002,-1.45444186765312e-14,0.2640000000000002,-3.147831642082703e-15,0.2640000000000002,-8.070304914825979e-15,0.2640000000000002,1.069976691416909e-07
0.2720000000000002,-0.2720000000000002,0.2720000000000002,-0.2,0.2720000000000002,-0.2566417921368623,0.2720000000000002,-0.06490755694867746,0.2720000000000002,21.50225605092983,0.2720000000000002,213.157822332274,0.2720000000000002,2.79455188655956e-05,0.2720000000000002,-3.69669690204827e-14,0.2720000000000002,-1.299655198972462e-06,0.2720000000000002,-1.531258249112851e-14,0.2720000000000002,-3.158952413658698e-15,0.2720000000000002,-8.082917086280993e-15,0.2720000000000002,1.311024787166087e-07
0.2800000000000002,-0.2800000000000002,0.2800000000000002,-0.2,0.2800000000000002,-0.2566417921368623,0.2800000000000002,-0.06840979080034248,0.2800000000000002,20.8590058923792,0.2800000000000002,200.1898072158053,0.2800000000000002,3.211574531666627e-05,0.2800000000000002,-4.126527485747454e-14,0.2800000000000002,-1.539658480513361e-06,0.2800000000000002,-1.606542402774653e-14,0.2800000000000002,-3.172069810421755e-15,0.2800000000000002,-8.096369530648659e-15,0.2800000000000002,1.604264760695103e-07
