NM0:cdb X,NM0:cdb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgs X,NM0:cgs Y,NM0:gm X,NM0:gm Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:vdsat X,NM0:vdsat Y,NM0:vth X,NM0:vth Y,NM0:vds X,NM0:vds Y,NM0:vgs X,NM0:vgs Y
0.1840000000000001,-5.331326037411373e-15,0.1840000000000001,-2.904293448069918e-15,0.1840000000000001,1.467034213404086e-06,0.1840000000000001,-6.673616342300495e-15,0.1840000000000001,-6.064245534308188e-15,0.1840000000000001,3.979024956953773e-05,0.1840000000000001,64.56375848949446,0.1840000000000001,6.162938853073778e-07,0.1840000000000001,27.12291861496713,0.1840000000000001,0.04771940213769963,0.1840000000000001,0.2642648364102932,0.1840000000000001,0.2,0.1840000000000001,0.1840000000000001
0.1920000000000001,-5.332804708702711e-15,0.1920000000000001,-2.905537786519712e-15,0.1920000000000001,1.819772613399919e-06,0.1920000000000001,-6.795053680832057e-15,0.1920000000000001,-6.93426813567619e-15,0.1920000000000001,4.866663709025463e-05,0.1920000000000001,63.77521969584565,0.1920000000000001,7.630963456081172e-07,0.1920000000000001,26.74325173255546,0.1920000000000001,0.04867436697373497,0.1920000000000001,0.2642648364102932,0.1920000000000001,0.2,0.1920000000000001,0.1920000000000001
0.2000000000000001,-5.334618860162184e-15,0.2000000000000001,-2.907122132948745e-15,0.2000000000000001,2.250404700616682e-06,0.2000000000000001,-6.941250426440772e-15,0.2000000000000001,-8.00110100753775e-15,0.2000000000000001,5.930941591440569e-05,0.2000000000000001,62.97594801670577,0.2000000000000001,9.417788502155227e-07,0.2000000000000001,26.3550000157647,0.2000000000000001,0.04979762951747914,0.2000000000000001,0.2642648364102932,0.2000000000000001,0.2,0.2000000000000001,0.2000000000000001
0.2080000000000001,-5.336810721948654e-15,0.2080000000000001,-2.909126122476598e-15,0.2080000000000001,2.774188657408947e-06,0.2080000000000001,-7.113676185292572e-15,0.2080000000000001,-9.283408147360695e-15,0.2080000000000001,7.200447971127264e-05,0.2080000000000001,62.15640390842831,0.2080000000000001,1.158440244023013e-06,0.2080000000000001,25.9551489134338,0.2080000000000001,0.05110792797864516,0.2080000000000001,0.2642648364102932,0.2080000000000001,0.2,0.2080000000000001,0.2080000000000001
0.2160000000000001,-5.339411644743112e-15,0.2160000000000001,-2.911640608870617e-15,0.2160000000000001,3.408758220162158e-06,0.2160000000000001,-7.312122074168275e-15,0.2160000000000001,-1.078782042814806e-14,0.2160000000000001,8.705864948299693e-05,0.2160000000000001,61.30333133614135,0.2160000000000001,1.420129177085545e-06,0.2160000000000001,25.53969623709458,0.2160000000000001,0.0526234597865346,0.2160000000000001,0.2642648364102932,0.2160000000000001,0.2,0.2160000000000001,0.2160000000000001
0.2240000000000001,-5.342436083742483e-15,0.2240000000000001,-2.914765933323603e-15,0.2240000000000001,4.174256063324539e-06,0.2240000000000001,-7.534180016297144e-15,0.2240000000000001,-1.250369946866534e-14,0.2240000000000001,0.0001047905358653984,0.2240000000000001,60.4003589602122,0.2240000000000001,1.734932335988725e-06,0.2240000000000001,25.10400279265252,0.2240000000000001,0.05436127201970017,0.2240000000000001,0.2642648364102932,0.2240000000000001,0.2,0.2240000000000001,0.2240000000000001
0.2320000000000002,-5.345877650225006e-15,0.2320000000000002,-2.918609124845238e-15,0.2320000000000002,5.093378653176423e-06,0.2320000000000002,-7.775049724541438e-15,0.2320000000000002,-1.44001508205145e-14,0.2320000000000002,0.0001255175534489324,0.2320000000000002,59.4290032054707,0.2320000000000002,2.112058871574309e-06,0.2320000000000002,24.64327944204593,0.2320000000000002,0.05633664273427033,0.2320000000000002,0.2642648364102932,0.2320000000000002,0.2,0.2320000000000002,0.2320000000000002
0.2400000000000002,-5.349709055338262e-15,0.2400000000000002,-2.923280476678382e-15,0.2400000000000002,6.191302749624128e-06,0.2400000000000002,-8.02784456785961e-15,0.2400000000000002,-1.642705776740233e-14,0.2400000000000002,0.0001495394274262727,0.2400000000000002,58.36996330448011,0.2400000000000002,2.561924300795218e-06,0.2400000000000002,24.153144092443,0.2400000000000002,0.0585624937310316,0.2400000000000002,0.2642648364102932,0.2400000000000002,0.2,0.2400000000000002,0.2400000000000002
0.2480000000000002,-5.353886645414847e-15,0.2480000000000002,-2.928890231904639e-15,0.2480000000000002,7.495468946888817e-06,0.2480000000000002,-8.284405286337205e-15,0.2480000000000002,-1.852067908911371e-14,0.2480000000000002,0.000177119160844885,0.2480000000000002,57.20454962548354,0.2480000000000002,3.096242554210789e-06,0.2480000000000002,23.63016405045939,0.2480000000000002,0.06104887579121243,0.2480000000000002,0.2642648364102932,0.2480000000000002,0.2,0.2480000000000002,0.2480000000000002
0.2560000000000002,-5.358358520289912e-15,0.2560000000000002,-2.935546165701925e-15,0.2560000000000002,9.035207844213431e-06,0.2560000000000002,-8.536424196101247e-15,0.2560000000000002,-2.061253558668468e-14,0.2560000000000002,0.0002084630269280548,0.2560000000000002,55.91607304040239,0.2560000000000002,3.728141401801035e-06,0.2560000000000002,23.07230010947261,0.2560000000000002,0.06380256343410438,0.2560000000000002,0.2642648364102932,0.2560000000000002,0.2,0.2560000000000002,0.2560000000000002
0.2640000000000002,-5.363073888211172e-15,0.2640000000000002,-2.943352618850448e-15,0.2640000000000002,1.084120881494375e-05,0.2640000000000002,-8.776553814326222e-15,0.2640000000000002,-2.263895628290775e-14,0.2640000000000002,0.0002437015764340519,0.2640000000000002,54.49104645042613,0.2640000000000002,4.472323295456662e-06,0.2640000000000002,22.47918849262418,0.2640000000000002,0.0668267881348942,0.2640000000000002,0.2642648364102932,0.2640000000000002,0.2,0.2640000000000002,0.2640000000000002
0.2720000000000002,-5.367991101404484e-15,0.2720000000000002,-2.952411124940708e-15,0.2720000000000002,1.294484803054368e-05,0.2720000000000002,-8.999200964666606e-15,0.2720000000000002,-2.454858539332097e-14,0.2720000000000002,0.0002828737865698386,0.2720000000000002,52.92009980936181,0.2720000000000002,5.345299566494712e-06,0.2720000000000002,21.85222923492187,0.2720000000000002,0.07012112766287416,0.2720000000000002,0.2642648364102932,0.2720000000000002,0.2,0.2720000000000002,0.2720000000000002
0.2800000000000002,-5.3730827128234e-15,0.2800000000000002,-2.962822377527546e-15,0.2800000000000002,1.537740879055284e-05,0.2800000000000002,-9.200861463108394e-15,0.2800000000000002,-2.630628346507418e-14,0.2800000000000002,0.0003259162643482519,0.2800000000000002,51.19856999377768,0.2800000000000002,6.365729831670329e-06,0.2800000000000002,21.19448528630931,0.2800000000000002,0.07368155620705677,0.2800000000000002,0.2642648364102932,0.2800000000000002,0.2,0.2800000000000002,0.2800000000000002
0.2880000000000002,-5.378337218622621e-15,0.2880000000000002,-2.9746890555689e-15,0.2880000000000002,1.816924052361327e-05,0.2880000000000002,-9.380028795484148e-15,0.2880000000000002,-2.789337401150934e-14,0.2880000000000002,0.0003726588710003642,0.2880000000000002,49.32677957870511,0.2880000000000002,7.554899674846093e-06,0.2880000000000002,20.5104264275977,0.2880000000000002,0.07750064690863571,0.2880000000000002,0.2642648364102932,0.2880000000000002,0.2,0.2880000000000002,0.2880000000000002
0.2960000000000002,-5.383758178879857e-15,0.2960000000000002,-2.988119000639174e-15,0.2960000000000002,2.134891073111056e-05,0.2960000000000002,-9.536823027373799e-15,0.2960000000000002,-2.9305268396486e-14,0.2960000000000002,0.0004228273500272406,0.2960000000000002,47.31005265070155,0.2960000000000002,8.937367987075588e-06,0.2960000000000002,19.80557019311786,0.2960000000000002,0.08156790690373518,0.2960000000000002,0.2642648364102932,0.2960000000000002,0.2,0.2960000000000002,0.2960000000000002
0.3040000000000002,-5.389361826360922e-15,0.3040000000000002,-3.003228355132766e-15,0.3040000000000002,2.494240531088441e-05,0.3040000000000002,-9.672508638471299e-15,0.3040000000000002,-3.05478375288452e-14,0.3040000000000002,0.0004760526677561983,0.3040000000000002,45.15852792854631,0.3040000000000002,1.05418110286821e-05,0.3040000000000002,19.08607697721419,0.3040000000000002,0.08587021625158932,0.3040000000000002,0.2642648364102932,0.3040000000000002,0.2,0.3040000000000002,0.3040000000000002
0.3120000000000002,-5.39517418050296e-15,0.3120000000000002,-3.020144435085104e-15,0.3120000000000002,2.897242706187614e-05,0.3120000000000002,-9.78903050639881e-15,0.3120000000000002,-3.163366566604511e-14,0.3120000000000002,0.0005318859744309831,0.3120000000000002,42.88682324265702,0.3120000000000002,1.240208376874945e-05,0.3120000000000002,18.35835062416746,0.3120000000000002,0.09039233693792131,0.3120000000000002,0.2642648364102932,0.3120000000000002,0.2,0.3120000000000002,0.3120000000000002
0.3200000000000002,-5.401228350914183e-15,0.3200000000000002,-3.039008256083253e-15,0.3200000000000002,3.34578308921396e-05,0.3200000000000002,-9.888638301335467e-15,0.3200000000000002,-3.257886446921485e-14,0.3200000000000002,0.0005898175028980756,0.3200000000000002,40.5135882450451,0.3200000000000002,1.455851057503433e-05,0.3200000000000002,17.62868324618557,0.3200000000000002,0.09511745668960095,0.3200000000000002,0.2642648364102932,0.3200000000000002,0.2,0.3200000000000002,0.3200000000000002
