NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:vdsat X,NM0:vdsat Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:gds X,NM0:gds Y
0.08000000000000002,0.08000000000000002,0.08000000000000002,0.2,0.08000000000000002,0.2415253619001211,0.08000000000000002,0.0432741914797693,0.08000000000000002,31.64562093042773,0.08000000000000002,122.9777654207382,0.08000000000000002,1.886245099675799e-06,0.08000000000000002,-3.258345741009223e-15,0.08000000000000002,5.960524872669452e-08,0.08000000000000002,-6.264442536286319e-15,0.08000000000000002,-2.900546000886868e-15,0.08000000000000002,-5.326508804196422e-15,0.08000000000000002,1.533809866541708e-08
0.08800000000000002,0.08800000000000002,0.08800000000000002,0.2,0.08800000000000002,0.2415253619001211,0.08800000000000002,0.04339510443500952,0.08800000000000002,31.33605086155769,0.08800000000000002,121.7654766571997,0.08800000000000002,2.402953458805199e-06,0.08800000000000002,-3.378615787490379e-15,0.08800000000000002,7.668335350698936e-08,0.08800000000000002,-6.283987826066468e-15,0.08800000000000002,-2.900718734992522e-15,0.08800000000000002,-5.326732653022517e-15,0.08800000000000002,1.973427546766901e-08
0.09600000000000003,0.09600000000000003,0.09600000000000003,0.2,0.09600000000000003,0.2415253619001211,0.09600000000000003,0.04354794270420979,0.09600000000000003,31.00540021188981,0.09600000000000003,120.4688458823568,0.09600000000000003,3.051002347839113e-06,0.09600000000000003,-3.537189619161079e-15,0.09600000000000003,9.840228907997418e-08,0.09600000000000003,-6.309529416585602e-15,0.09600000000000003,-2.900945943213721e-15,0.09600000000000003,-5.327025548669949e-15,0.09600000000000003,2.532606937081935e-08
0.104,0.104,0.104,0.2,0.104,0.2415253619001211,0.104,0.04374018278997691,0.104,30.65499899619272,0.104,119.092424282912,0.104,3.860353105784359e-06,0.104,-3.745978986176987e-15,0.104,1.25928991647918e-07,0.104,-6.342860385512375e-15,0.104,-2.901244684109636e-15,0.104,-5.327408407846284e-15,0.104,3.24147663382335e-08
0.112,0.112,0.112,0.2,0.112,0.2415253619001211,0.112,0.04398068211493483,0.112,30.28671057429813,0.112,117.6426760893254,0.112,4.866864385285666e-06,0.112,-4.020458023787531e-15,0.112,1.606930663546051e-07,0.112,-6.386276061129738e-15,0.112,-2.901637269521081e-15,0.112,-5.32790820291321e-15,0.112,4.136988843734127e-08
0.1200000000000001,0.1200000000000001,0.1200000000000001,0.2,0.1200000000000001,0.2415253619001211,0.1200000000000001,0.04427980112808062,0.1200000000000001,29.90286013505463,0.1200000000000001,116.1276559209128,0.1200000000000001,6.11327511595169e-06,0.1200000000000001,-4.380607171925272e-15,0.1200000000000001,2.044378061145101e-07,0.1200000000000001,-6.442689428113313e-15,0.1200000000000001,-2.902152815150259e-15,0.1200000000000001,-5.328559502382067e-15,0.1200000000000001,5.264271518676871e-08
0.1280000000000001,0.1280000000000001,0.1280000000000001,0.2,0.1280000000000001,0.2415253619001211,0.1280000000000001,0.04464949004437635,0.1280000000000001,29.50609205910149,0.1280000000000001,114.5563966474045,0.1280000000000001,7.650328755892428e-06,0.1280000000000001,-4.851999483529314e-15,0.1280000000000001,2.592796344256251e-07,0.1280000000000001,-6.515753498932098e-15,0.1280000000000001,-2.902829196522082e-15,0.1280000000000001,-5.32940623689771e-15,0.1280000000000001,6.678220492077394e-08
0.1360000000000001,0.1360000000000001,0.1360000000000001,0.2,0.1360000000000001,0.2415253619001211,0.1360000000000001,0.04510332352044612,0.1360000000000001,29.09915146870007,0.1360000000000001,112.9379868295442,0.1360000000000001,9.538035609729169e-06,0.1360000000000001,-5.466947846537691e-15,0.1360000000000001,3.277771046492159e-07,0.1360000000000001,-6.609973722597491e-15,0.1360000000000001,-2.903715474554386e-15,0.1360000000000001,-5.330503582995728e-15,0.1360000000000001,8.445374207107833e-08
0.1440000000000001,0.1440000000000001,0.1440000000000001,0.2,0.1440000000000001,0.2415253619001211,0.1440000000000001,0.04565646611625802,0.1440000000000001,28.6845971968217,0.1440000000000001,111.2803636780022,0.1440000000000001,1.184703833607112e-05,0.1440000000000001,-6.265517310446327e-15,0.1440000000000001,4.130104481203071e-07,0.1440000000000001,-6.730777853896516e-15,0.1440000000000001,-2.904874829819765e-15,0.1440000000000001,-5.331919716092748e-15,0.1440000000000001,1.064611755794704e-07
0.1520000000000001,0.1520000000000001,0.1520000000000001,0.2,0.1520000000000001,0.2415253619001211,0.1520000000000001,0.04632555283685055,0.1520000000000001,28.26446918016652,0.1520000000000001,109.588910133316,0.1520000000000001,1.465999417783307e-05,0.1520000000000001,-7.296018509157085e-15,0.1520000000000001,5.186721919534939e-07,0.1520000000000001,-6.88448788410422e-15,0.1520000000000001,-2.906387984453118e-15,0.1520000000000001,-5.333736962901701e-15,0.1520000000000001,1.33772606735472e-07
