PM0:vgs X,PM0:vgs Y,PM0:vds X,PM0:vds Y,PM0:vdsat X,PM0:vdsat Y,PM0:gmoverid X,PM0:gmoverid Y,PM0:self_gain X,PM0:self_gain Y,PM0:gds X,PM0:gds Y,PM0:gm X,PM0:gm Y,PM0:cgs X,PM0:cgs Y,PM0:id X,PM0:id Y,PM0:csb X,PM0:csb Y,PM0:cgd X,PM0:cgd Y,PM0:cdb X,PM0:cdb Y,PM0:vth X,PM0:vth Y
0.2080000000000001,-0.2080000000000002,0.2080000000000001,-0.2,0.2080000000000001,-0.04549241527277761,0.2080000000000001,25.39131548778911,0.2080000000000001,429.327346721705,0.2080000000000001,9.295968155625308e-09,0.2080000000000001,3.991013343464075e-06,0.2080000000000001,-1.973330218849624e-14,0.2080000000000001,-1.571802511031858e-07,0.2080000000000001,-1.234010083530897e-14,0.2080000000000001,-3.122056325715917e-15,0.2080000000000001,-8.036648752689934e-15,0.2080000000000001,-0.2525273259577732
0.2160000000000001,-0.2160000000000002,0.2160000000000001,-0.2,0.2160000000000001,-0.04712861052085918,0.2160000000000001,24.97306941236304,0.2160000000000001,415.8144040367542,0.2160000000000001,1.154699589760505e-08,0.2160000000000001,4.80140721757749e-06,0.2160000000000001,-2.402768913503359e-14,0.2160000000000001,-1.922633993855419e-07,0.2160000000000001,-1.320060448780565e-14,0.2160000000000001,-3.12829752284124e-15,0.2160000000000001,-8.04730268345015e-15,0.2160000000000001,-0.2525273259577732
0.2240000000000001,-0.2240000000000002,0.2240000000000001,-0.2,0.2240000000000001,-0.04898229059753903,0.2240000000000001,24.52903879459859,0.2240000000000001,401.2200302343628,0.2240000000000001,1.432836359877497e-08,0.2240000000000001,5.748826476309439e-06,0.2240000000000001,-2.917502474385977e-14,0.2240000000000001,-2.343681921322096e-07,0.2240000000000001,-1.421736355038897e-14,0.2240000000000001,-3.136172472071817e-15,0.2240000000000001,-8.060185936642517e-15,0.2240000000000001,-0.2525273259577732
0.2320000000000002,-0.2320000000000002,0.2320000000000002,-0.2,0.2320000000000002,-0.05106495180452876,0.2320000000000002,24.05499303525558,0.2320000000000002,385.4948835262784,0.2320000000000002,1.776206898200822e-08,0.2320000000000002,6.847186713404982e-06,0.2320000000000002,-3.521346241302443e-14,0.2320000000000002,-2.84647212496678e-07,0.2320000000000002,-1.539220896597011e-14,0.2320000000000002,-3.146034948326635e-15,0.2320000000000002,-8.075513316804099e-15,0.2320000000000002,-0.2525273259577732
0.2400000000000002,-0.2400000000000002,0.2400000000000002,-0.2,0.2400000000000002,-0.05338571867493517,0.2400000000000002,23.5478604991765,0.2400000000000002,368.6340466628598,0.2400000000000002,2.199720009286986e-08,0.2400000000000002,8.108916885487252e-06,0.2400000000000002,-4.212144013212079e-14,0.2400000000000002,-3.443589657100031e-07,0.2400000000000002,-1.671519410087533e-14,0.2400000000000002,-3.158279764058378e-15,0.2400000000000002,-8.093416210491237e-15,0.2400000000000002,-0.2525273259577732
0.2480000000000002,-0.2480000000000002,0.2480000000000002,-0.2,0.2480000000000002,-0.05595104711631141,0.2480000000000002,23.00609962428931,0.2480000000000002,350.6840395649731,0.2480000000000002,2.721578899819444e-08,0.2480000000000002,9.544142825834779e-06,0.2480000000000002,-4.980295257649074e-14,0.2480000000000002,-4.148527122100682e-07,0.2480000000000002,-1.816272122525192e-14,0.2480000000000002,-3.173334014088568e-15,0.2480000000000002,-8.113914363729611e-15,0.2480000000000002,-0.2525273259577732
0.2560000000000002,-0.2560000000000002,0.2560000000000002,-0.2,0.2560000000000002,-0.05876453711082779,0.2560000000000002,22.42989241894539,0.2560000000000002,331.7449222348913,0.2560000000000002,3.364007488577214e-08,0.2560000000000002,1.11599240269564e-05,0.2560000000000002,-5.808490084296153e-14,0.2560000000000002,-4.975469261809704e-07,0.2560000000000002,-1.969808116262148e-14,0.2560000000000002,-3.191645150399763e-15,0.2560000000000002,-8.13690437682234e-15,0.2560000000000002,-0.2525273259577732
0.2640000000000002,-0.2640000000000002,0.2640000000000002,-0.2,0.2640000000000002,-0.06182686483893362,0.2640000000000002,21.82114750121384,0.2640000000000002,311.9673315656433,0.2640000000000002,4.154161301914797e-08,0.2640000000000002,1.295962616251618e-05,0.2640000000000002,-6.673089565581989e-14,0.2640000000000002,-5.939021383929099e-07,0.2640000000000002,-2.127490641797005e-14,0.2640000000000002,-3.213668040313861e-15,0.2640000000000002,-8.162172318044955e-15,0.2640000000000002,-0.2525273259577732
0.2720000000000002,-0.2720000000000002,0.2720000000000002,-0.2,0.2720000000000002,-0.06513583479632505,0.2720000000000002,21.18333191162091,0.2720000000000002,291.5450707677439,0.2720000000000002,5.125279896769892e-08,0.2720000000000002,1.494250090208273e-05,0.2720000000000002,-7.54702278583219e-14,0.2720000000000002,-7.053895470763278e-07,0.2720000000000002,-2.284299269306489e-14,0.2720000000000002,-3.239853856728976e-15,0.2720000000000002,-8.189430195852e-15,0.2720000000000002,-0.2525273259577732
0.2800000000000002,-0.2800000000000002,0.2800000000000002,-0.2,0.2800000000000002,-0.06868654356773153,0.2800000000000002,20.52117412541599,0.2800000000000002,270.7044234101436,0.2800000000000002,6.318153769954261e-08,0.2800000000000002,1.710352173312093e-05,0.2800000000000002,-8.403455821899808e-14,0.2800000000000002,-8.334572685361788e-07,0.2800000000000002,-2.435496535183598e-14,0.2800000000000002,-3.270643404865036e-15,0.2800000000000002,-8.218367227186456e-15,0.2800000000000002,-0.2525273259577732
0.2880000000000002,-0.2880000000000003,0.2880000000000002,-0.2,0.2880000000000002,-0.07247163936829869,0.2880000000000002,19.84029171538862,0.2880000000000002,249.691622128203,0.2880000000000002,7.782997897240435e-08,0.2880000000000002,1.943349369982357e-05,0.2880000000000002,-9.219188922914177e-14,0.2880000000000002,-9.794963692662862e-07,0.2880000000000002,-2.577194676865294e-14,0.2880000000000002,-3.306466336777899e-15,0.2880000000000002,-8.248701825828454e-15,0.2880000000000002,-0.2525273259577732
0.2960000000000002,-0.2960000000000003,0.2960000000000002,-0.2,0.2960000000000002,-0.07648165596363027,0.2960000000000002,19.14679656253592,0.2960000000000002,228.7598813713091,0.2960000000000002,9.581846986204154e-08,0.2960000000000002,2.191942179882098e-05,0.2960000000000002,-9.976927020059594e-14,0.2960000000000002,-1.144808831482199e-06,0.2960000000000002,-2.706689635711956e-14,0.2960000000000002,-3.347746165307006e-15,0.2960000000000002,-8.280221618663239e-15,0.2960000000000002,-0.2525273259577732
0.3040000000000002,-0.3040000000000003,0.3040000000000002,-0.2,0.3040000000000002,-0.08070539651126454,0.3040000000000002,18.44692157066136,0.3040000000000002,208.157181194082,0.3040000000000002,1.179161484523197e-07,0.3040000000000002,2.454509307909777e-05,0.3040000000000002,-1.066608878384494e-13,0.3040000000000002,-1.330579359033961e-06,0.3040000000000002,-2.822528122101876e-14,0.3040000000000002,-3.394909733164126e-15,0.3040000000000002,-8.312805005462024e-15,0.3040000000000002,-0.2525273259577732
0.3120000000000002,-0.3120000000000003,0.3120000000000002,-0.2,0.3120000000000002,-0.08513034226183819,0.3120000000000002,17.74669961487848,0.3120000000000002,188.1156624093992,0.3120000000000002,1.450799238918486e-07,0.3120000000000002,2.729180598522031e-05,0.3120000000000002,-1.128234514168914e-13,0.3120000000000002,-1.537852478376395e-06,0.3120000000000002,-2.924361548484246e-14,0.3120000000000002,-3.448399227454229e-15,0.3120000000000002,-8.346424796640936e-15,0.3120000000000002,-0.2525273259577732
0.3200000000000002,-0.3200000000000003,0.3200000000000002,-0.2,0.3200000000000002,-0.08974306264658062,0.3200000000000002,17.05171159843087,0.3200000000000002,168.8431485792303,0.3200000000000002,1.785039549648355e-07,0.3200000000000002,3.013916979010796e-05,0.3200000000000002,-1.182637170830654e-13,0.3200000000000002,-1.767515807233273e-06,0.3200000000000002,-3.012682200448551e-14,0.3200000000000002,-3.508684947463537e-15,0.3200000000000002,-8.381139028135852e-15,0.3200000000000002,-0.2525273259577732
0.3280000000000002,-0.3280000000000003,0.3280000000000002,-0.2,0.3280000000000002,-0.09452960656123653,0.3280000000000002,16.36690850752624,0.3280000000000002,150.5170057928368,0.3280000000000002,2.196821360695925e-07,0.3280000000000002,3.306589734736961e-05,0.3280000000000002,-1.230232526968799e-13,0.3280000000000002,-2.02028974089064e-06,0.3280000000000002,-3.088532227103948e-14,0.3280000000000002,-3.576277554011623e-15,0.3280000000000002,-8.417075286799577e-15,0.3280000000000002,-0.2525273259577732
0.3360000000000002,-0.3360000000000003,0.3360000000000002,-0.2,0.3360000000000002,-0.09947585902555262,0.3360000000000002,15.69650347485392,0.3360000000000002,133.2803157348518,0.3360000000000002,2.704864847348421e-07,0.3360000000000002,3.605052408746992e-05,0.3360000000000002,-1.271641542333074e-13,0.3360000000000002,-2.296723225378517e-06,0.3360000000000002,-3.153246163866687e-14,0.3360000000000002,-3.651739135477787e-15,0.3360000000000002,-8.45441376276188e-15,0.3360000000000002,-0.2525273259577732
0.3440000000000003,-0.3440000000000003,0.3440000000000003,-0.2,0.3440000000000003,-0.1045678522243993,0.3440000000000003,15.04392431295277,0.3440000000000003,117.2401762286066,0.3440000000000003,3.332646147431706e-07,0.3440000000000003,3.9072002163248e-05,0.3440000000000003,-1.307576316128175e-13,0.3440000000000003,-2.597194811067323e-06,0.3440000000000003,-3.208254589750294e-14,0.3440000000000003,-3.735692914135958e-15,0.3440000000000003,-8.493372249246626e-15,0.3440000000000003,-0.2525273259577732
0.3520000000000003,-0.3520000000000003,0.3520000000000003,-0.2,0.3520000000000003,-0.1097920246719924,0.3520000000000003,14.41181435130647,0.3520000000000003,102.4678470986002,0.3520000000000003,4.109595228233809e-07,0.3520000000000003,4.211013754837988e-05,0.3520000000000003,-1.338759544571322e-13,0.3520000000000003,-2.921917846172253e-06,0.3520000000000003,-3.254952187586121e-14,0.3520000000000003,-3.82883171698395e-15,0.3520000000000003,-8.534194482259009e-15,0.3520000000000003,-0.2525273259577732
0.3600000000000003,-0.3600000000000003,0.3600000000000003,-0.2,0.3600000000000003,-0.1151354264657559,0.3600000000000003,13.80206901427579,0.3600000000000003,89.00041271677911,0.3600000000000003,5.072544654694091e-07,0.3600000000000003,4.514585677920659e-05,0.3600000000000003,-1.365874124095967e-13,0.3600000000000003,-3.270948488441636e-06,0.3600000000000003,-3.294620400696496e-14,0.3600000000000003,-3.931925466614674e-15,0.3600000000000003,-8.577141976198956e-15,0.3600000000000003,-0.2525273259577732
0.3680000000000003,-0.3680000000000003,0.3680000000000003,-0.2,0.3680000000000003,-0.1205858720480051,0.3680000000000003,13.2158966794042,0.3680000000000003,76.8436207547782,0.3680000000000003,6.267443732401656e-07,0.3680000000000003,4.816130692745844e-05,0.3680000000000003,-1.38953606826068e-13,0.3680000000000003,-3.644195176170094e-06,0.3680000000000003,-3.328390511226822e-14,0.3680000000000003,-4.045827962322573e-15,0.3680000000000003,-8.622488866346991e-15,0.3680000000000003,-0.2525273259577732
0.3760000000000003,-0.3760000000000003,0.3760000000000003,-0.2,0.3760000000000003,-0.1261320444555603,0.3760000000000003,12.65389432227915,0.3760000000000003,65.97556713749519,0.3760000000000003,7.751325023427472e-07,0.3760000000000003,5.113980644876856e-05,0.3760000000000003,-1.410283613892709e-13,0.3760000000000003,-4.041428286555323e-06,0.3760000000000003,-3.357233614440492e-14,0.3760000000000003,-4.171483170886276e-15,0.3760000000000003,-8.670519043179889e-15,0.3760000000000003,-0.2525273259577732
0.3840000000000003,-0.3840000000000003,0.3840000000000003,-0.2,0.3840000000000003,-0.1317635567184119,0.3840000000000003,12.11613079591081,0.3840000000000003,56.35092144542466,0.3840000000000003,9.594461731250153e-07,0.3840000000000003,5.406567593288104e-05,0.3840000000000003,-1.428576542035899e-13,0.3840000000000003,-4.462288897663975e-06,0.3840000000000003,-3.381966708801872e-14,0.3840000000000003,-4.309931166907376e-15,0.3840000000000003,-8.721524872481527e-15,0.3840000000000003,-0.2525273259577732
0.3920000000000003,-0.3920000000000003,0.3920000000000003,-0.2,0.3920000000000003,-0.1374709769623443,0.3920000000000003,11.60223295826367,0.3920000000000003,47.90541972890299,0.3920000000000003,1.188257772024976e-06,0.3920000000000003,5.692398731498762e-05,0.3920000000000003,-1.444801287965825e-13,0.3920000000000003,-4.906295841507377e-06,0.3920000000000003,-3.403267227551298e-14,0.3920000000000003,-4.462313775285665e-15,0.3920000000000003,-8.775806905169133e-15,0.3920000000000003,-0.2525273259577732
0.4000000000000003,-0.4000000000000004,0.4000000000000003,-0.2,0.4000000000000003,-0.1432458240197541,0.4000000000000003,11.11147199712394,0.4000000000000003,40.56038968914692,0.4000000000000003,1.471886222297801e-06,0.4000000000000003,5.970027875448513e-05,0.4000000000000003,-1.4592788408761e-13,0.4000000000000003,-5.372850579137002e-06,0.4000000000000003,-3.421691007438063e-14,0.4000000000000003,-4.629879883036618e-15,0.4000000000000003,-8.833674113508094e-15,0.4000000000000003,-0.2525273259577732
0.4080000000000003,-0.4080000000000004,0.4080000000000003,-0.2,0.4080000000000003,-0.1490805401209697,0.4080000000000003,10.64284899744945,0.4080000000000003,34.22711424629014,0.4080000000000003,1.822540167992336e-06,0.4080000000000003,6.238029054832651e-05,0.4080000000000003,-1.472273551190386e-13,0.4080000000000003,-5.861239839406622e-06,0.4080000000000003,-3.437690692174988e-14,0.4080000000000003,-4.81399030709097e-15,0.4080000000000003,-8.895444308953608e-15,0.4080000000000003,-0.2525273259577732
