NM0:vgs X,NM0:vgs Y,NM0:vds X,NM0:vds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:gds X,NM0:gds Y,NM0:gm X,NM0:gm Y,NM0:cgs X,NM0:cgs Y,NM0:id X,NM0:id Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:cdb X,NM0:cdb Y,NM0:vdsat X,NM0:vdsat Y
0.1760000000000001,0.1760000000000001,0.1760000000000001,0.2,0.1760000000000001,0.2298855757036051,0.1760000000000001,26.55607784843357,0.1760000000000001,161.1251710037019,0.1760000000000001,1.081803429452167e-07,0.1760000000000001,1.743057625628715e-05,0.1760000000000001,-2.887662343554708e-14,0.1760000000000001,6.563686234706401e-07,0.1760000000000001,-1.008544383508951e-14,0.1760000000000001,-2.943156338706627e-15,0.1760000000000001,-5.373021957377484e-15,0.1760000000000001,0.05087063343065055
0.1840000000000001,0.1840000000000001,0.1840000000000001,0.2,0.1840000000000001,0.2298855757036051,0.1840000000000001,26.07585893472978,0.1840000000000001,157.0600744070994,0.1840000000000001,1.345103226493806e-07,0.1840000000000001,2.112620128383467e-05,0.1840000000000001,-3.536140148619298e-14,0.1840000000000001,8.101823737610211e-07,0.1840000000000001,-1.098473174259819e-14,0.1840000000000001,-2.955902399249116e-15,0.1840000000000001,-5.385004025260606e-15,0.1840000000000001,0.05251711057160034
0.1920000000000001,0.1920000000000001,0.1920000000000001,0.2,0.1920000000000001,0.2298855757036051,0.1920000000000001,25.57899161052162,0.1920000000000001,152.7350288662344,0.1920000000000001,1.6682709073376e-07,0.1920000000000001,2.548034051889073e-05,0.1920000000000001,-4.277806512024267e-14,0.1920000000000001,9.961432769719556e-07,0.1920000000000001,-1.199337350060611e-14,0.1920000000000001,-2.9719572694203e-15,0.1920000000000001,-5.399071717719293e-15,0.1920000000000001,0.05440155715381194
0.2000000000000001,0.2000000000000001,0.2000000000000001,0.2,0.2000000000000001,0.2298855757036051,0.2000000000000001,25.06058448339009,0.2000000000000001,148.1090705592006,0.2000000000000001,2.063991894967656e-07,0.2000000000000001,3.056959212053827e-05,0.2000000000000001,-5.096082826780243e-14,0.2000000000000001,1.21982758009245e-06,0.2000000000000001,-1.308507267943456e-14,0.2000000000000001,-2.991940056025743e-15,0.2000000000000001,-5.415198647305374e-15,0.2000000000000001,0.05653886986057317
0.2080000000000001,0.2080000000000001,0.2080000000000001,0.2,0.2080000000000001,0.2298855757036051,0.2080000000000001,24.51630748265964,0.2080000000000001,143.1474864431812,0.2080000000000001,2.547425156495403e-07,0.2080000000000001,3.646575080544444e-05,0.2080000000000001,-5.965187085125629e-14,0.2080000000000001,1.487407956383898e-06,0.2080000000000001,-1.422318735303053e-14,0.2080000000000001,-3.016494337400091e-15,0.2080000000000001,-5.43325374984074e-15,0.2080000000000001,0.05894134265360326
0.2160000000000001,0.2160000000000001,0.2160000000000001,0.2,0.2160000000000001,0.2298855757036051,0.2160000000000001,23.94294680351017,0.2160000000000001,137.8261543756192,0.2160000000000001,3.136655818191954e-07,0.2160000000000001,4.323132090213082e-05,0.2160000000000001,-6.853677428421571e-14,0.2160000000000001,1.805597333619927e-06,0.2160000000000001,-1.536590485944336e-14,0.2160000000000001,-3.046270787371937e-15,0.2160000000000001,-5.453031115920901e-15,0.2160000000000001,0.06161823059074965
0.2240000000000001,0.2240000000000001,0.2240000000000001,0.2,0.2240000000000001,0.2298855757036051,0.2240000000000001,23.3388154014836,0.2240000000000001,132.1349262260166,0.2240000000000001,3.853253484284603e-07,0.2240000000000001,5.091493648760875e-05,0.2240000000000001,-7.729465130913177e-14,0.2240000000000001,2.181556159423995e-06,0.2240000000000001,-1.647274723176144e-14,0.2240000000000001,-3.081916568356374e-15,0.2240000000000001,-5.47429776344149e-15,0.2240000000000001,0.06457543440242647
0.2320000000000002,0.2320000000000002,0.2320000000000002,0.2,0.2320000000000002,0.2298855757036051,0.2320000000000002,22.703969583771,0.2320000000000002,126.0796947751218,0.2320000000000002,4.722977718738916e-07,0.2320000000000002,5.954715892083037e-05,0.2320000000000002,-8.564625405262411e-14,0.2320000000000002,2.622764213374049e-06,0.2320000000000002,-1.751030200966559e-14,0.2320000000000002,-3.124074419889995e-15,0.2320000000000002,-5.496843907660372e-15,0.2320000000000002,0.06781532512646014
0.2400000000000002,0.2400000000000002,0.2400000000000002,0.2,0.2400000000000002,0.2298855757036051,0.2400000000000002,22.04021997752007,0.2400000000000002,119.6830298764923,0.2400000000000002,5.776685847157696e-07,0.2400000000000002,6.91371264832485e-05,0.2400000000000002,-9.338592449113578e-14,0.2400000000000002,3.136861907850074e-06,0.2400000000000002,-1.845560017062021e-14,0.2400000000000002,-3.173391421960492e-15,0.2400000000000002,-5.520521435189972e-15,0.2400000000000002,0.07133671774077564
0.2480000000000002,0.2480000000000002,0.2480000000000002,0.2,0.2480000000000002,0.2298855757036051,0.2480000000000002,21.35095951511749,0.2480000000000002,112.983491032171,0.2480000000000002,7.051513009956895e-07,0.2480000000000002,7.967045569237021e-05,0.2480000000000002,-1.003920997810752e-13,0.2480000000000002,3.731469568881805e-06,0.2480000000000002,-1.929673843176524e-14,0.2480000000000002,-3.230535051973156e-15,0.2480000000000002,-5.545263651879882e-15,0.2480000000000002,0.07513499170890378
