NM0:cgs X,NM0:cgs Y,NM0:cdb X,NM0:cdb Y,NM0:csb X,NM0:csb Y,NM0:cgd X,NM0:cgd Y,NM0:id X,NM0:id Y,NM0:gm X,NM0:gm Y,NM0:gds X,NM0:gds Y,NM0:vth X,NM0:vth Y,NM0:gmoverid X,NM0:gmoverid Y,NM0:self_gain X,NM0:self_gain Y,NM0:vdsat X,NM0:vdsat Y
0.2400000000000001,-1.56793488499525e-15,0.2400000000000001,-2.692358263138396e-15,0.2400000000000001,-3.144232659220852e-15,0.2400000000000001,-1.445657207930177e-15,0.2400000000000001,1.315383298137381e-06,0.2400000000000001,3.121704542878502e-05,0.2400000000000001,2.743485338767356e-06,0.2400000000000001,0.3663703174794232,0.2400000000000001,23.73228052666157,0.2400000000000001,11.37860843929671,0.2400000000000001,0.04359657760747688
0.2460000000000001,-1.587654897103052e-15,0.2460000000000001,-2.692385620947497e-15,0.2460000000000001,-3.146577242505104e-15,0.2460000000000001,-1.444934903189244e-15,0.2460000000000001,1.516152945141148e-06,0.2460000000000001,3.580694077354253e-05,0.2460000000000001,3.152618740385499e-06,0.2460000000000001,0.3663703174794232,0.2460000000000001,23.61697142163488,0.2460000000000001,11.35784048824251,0.2460000000000001,0.04378745478991729
0.2520000000000001,-1.610506462663059e-15,0.2520000000000001,-2.692417008012522e-15,0.2520000000000001,-3.149256983607324e-15,0.2520000000000001,-1.444097323184348e-15,0.2520000000000001,1.746343812850879e-06,0.2520000000000001,4.103744576530158e-05,0.2520000000000001,3.619722013883104e-06,0.2520000000000001,0.3663703174794232,0.2520000000000001,23.49906442590976,0.2520000000000001,11.33718158684736,0.2520000000000001,0.04400440865918812
0.2580000000000001,-1.636925924807634e-15,0.2580000000000001,-2.692452942751515e-15,0.2580000000000001,-3.152311506155315e-15,0.2580000000000001,-1.443128327724222e-15,0.2580000000000001,2.010045904555319e-06,0.2580000000000001,4.699231132275942e-05,0.2580000000000001,4.152458345310613e-06,0.2580000000000001,0.3663703174794232,0.2580000000000001,23.37872544050776,0.2580000000000001,11.31674478464739,0.2580000000000001,0.04425052693866987
0.2640000000000001,-1.667384029660674e-15,0.2640000000000001,-2.692493981669776e-15,0.2640000000000001,-3.15578204266532e-15,0.2640000000000001,-1.442010508541811e-15,0.2640000000000001,2.311881250662725e-06,0.2640000000000001,5.376530209088108e-05,0.2640000000000001,4.759408102260318e-06,0.2640000000000001,0.3663703174794232,0.2640000000000001,23.25608293164331,0.2640000000000001,11.2966362488115,0.2640000000000001,0.04452916138019428
0.2700000000000001,-1.702377430678215e-15,0.2700000000000001,-2.692540711258972e-15,0.2700000000000001,-3.159710294200686e-15,0.2700000000000001,-1.44072551309912e-15,0.2700000000000001,2.657066878759334e-06,0.2700000000000001,6.146116611778172e-05,0.2700000000000001,5.450159350687338e-06,0.2700000000000001,0.3663703174794232,0.2700000000000001,23.13120780351158,0.2700000000000001,11.27694846390696,0.2700000000000001,0.0448439291037999
0.2760000000000001,-1.742415102616347e-15,0.2760000000000001,-2.692593735433486e-15,0.2760000000000001,-3.164136837394454e-15,0.2760000000000001,-1.439254561835833e-15,0.2760000000000001,3.051483625086261e-06,0.2760000000000001,7.019660733537184e-05,0.2760000000000001,6.235401673266409e-06,0.2760000000000001,0.3663703174794232,0.2760000000000001,23.00409111190999,0.2760000000000001,11.2577522690049,0.2760000000000001,0.04519870891676078
0.2820000000000001,-1.787998777818496e-15,0.2820000000000001,-2.692653657872849e-15,0.2820000000000001,-3.169099039103067e-15,0.2820000000000001,-1.437579192942462e-15,0.2820000000000001,3.501750681640731e-06,0.2820000000000001,8.01012177289322e-05,0.2820000000000001,7.12702122363631e-06,0.2820000000000001,0.3663703174794232,0.2820000000000001,22.8746204438519,0.2820000000000001,11.23908786230096,0.2820000000000001,0.0455976316867908
0.2880000000000001,-1.839596939064461e-15,0.2880000000000001,-2.692721059031967e-15,0.2880000000000001,-3.174628488195026e-15,0.2880000000000001,-1.435682252856798e-15,0.2880000000000001,4.015305467292116e-06,0.2880000000000001,9.131831000193079e-05,0.2880000000000001,8.138194113144337e-06,0.2880000000000001,0.3663703174794232,0.2880000000000001,22.74255613884818,0.2880000000000001,11.22095500947056,0.2880000000000001,0.04604506386219193
0.2940000000000002,-1.89761264421075e-15,0.2940000000000002,-2.692796468218327e-15,0.2940000000000002,-3.180748027964808e-15,0.2940000000000002,-1.433549122600452e-15,0.2940000000000002,4.600488002332602e-06,0.2940000000000002,0.0001040055733530792,0.2940000000000002,9.28347427057091e-06,0.2940000000000002,0.3663703174794232,0.2940000000000002,22.60750887795245,0.2940000000000002,11.20330280687934,0.2940000000000002,0.04654558329892017
0.3000000000000002,-1.962346519964057e-15,0.3000000000000002,-2.692880332001568e-15,0.3000000000000002,-3.187468567758903e-15,0.3000000000000002,-1.431169129658298e-15,0.3000000000000002,5.266628443805798e-06,0.3000000000000002,0.0001183354556763432,0.3000000000000002,1.057887088909173e-05,0.3000000000000002,0.3663703174794232,0.3000000000000002,22.46892047569319,0.3000000000000002,11.18601946436111,0.3000000000000002,0.04710394668018016
0.3060000000000002,-2.033957549880647e-15,0.3060000000000002,-2.69297298122307e-15,0.3060000000000002,-3.19478595639669e-15,0.3060000000000002,-1.428537045920441e-15,0.3060000000000002,6.024135801576371e-06,0.3060000000000002,0.0001344951566706858,0.3060000000000002,1.204190955804788e-05,0.3060000000000002,0.3663703174794232,0.3060000000000002,22.32604992703327,0.3060000000000002,11.16892267147113,0.3060000000000002,0.04772504800548618
0.3120000000000002,-2.112425577379736e-15,0.3120000000000002,-2.693074599829902e-15,0.3120000000000002,-3.202678291199734e-15,0.3120000000000002,-1.425654522493366e-15,0.3120000000000002,6.884585111764073e-06,0.3120000000000002,0.0001526861002555523,0.3120000000000002,1.369167028338066e-05,0.3120000000000002,0.3663703174794232,0.3120000000000002,22.17796683160603,0.3120000000000002,11.15175118121907,0.3120000000000002,0.04841386788726585
0.3180000000000002,-2.197520420844629e-15,0.3180000000000002,-2.693185199416268e-15,0.3180000000000002,-3.211104086451956e-15,0.3180000000000002,-1.422531274417856e-15,0.3180000000000002,7.860799519610794e-06,0.3180000000000002,0.0001731227441901587,0.3180000000000002,1.554879497492318e-05,0.3180000000000002,0.3663703174794232,0.3180000000000002,22.02355418946403,0.3180000000000002,11.13415827203124,0.3180000000000002,0.04917541372372262
0.3240000000000002,-2.288782785232428e-15,0.3240000000000002,-2.69330460345076e-15,0.3240000000000002,-3.220001705766865e-15,0.3240000000000002,-1.419185816673615e-15,0.3240000000000002,8.966922861417783e-06,0.3240000000000002,0.0001960305831907745,0.3240000000000002,1.763545678899931e-05,0.3240000000000002,0.3663703174794232,0.3240000000000002,21.86152219918435,0.3240000000000002,11.11570772088279,0.3240000000000002,0.05001465121080277
0.3300000000000002,-2.385521460145216e-15,0.3300000000000002,-2.693432444510612e-15,0.3300000000000002,-3.229290356817714e-15,0.3300000000000002,-1.415645578641231e-15,0.3300000000000002,1.021847749862248e-05,0.3300000000000002,0.0002216432125596921,0.3300000000000002,1.997528413511642e-05,0.3300000000000002,0.3663703174794232,0.3300000000000002,21.69043407807434,0.3300000000000002,11.09587283266949,0.3300000000000002,0.05093642810103159
0.3360000000000002,-2.486829536924667e-15,0.3360000000000002,-2.693568176415736e-15,0.3360000000000002,-3.238872757935768e-15,0.3360000000000002,-1.411946290751179e-15,0.3360000000000002,1.163240142993322e-05,0.3360000000000002,0.0002501983454750219,0.3360000000000002,2.259323334198548e-05,0.3360000000000002,0.3663703174794232,0.3360000000000002,21.50874408732491,0.3360000000000002,11.07403892518885,0.3360000000000002,0.05194539159277699
0.3420000000000002,-2.591619778781845e-15,0.3420000000000002,-2.693711101158678e-15,0.3420000000000002,-3.248639343868021e-15,0.3420000000000002,-1.408130636130174e-15,0.3420000000000002,1.32270581893618e-05,0.3420000000000002,0.0002819327208128346,0.3420000000000002,2.551540603827138e-05,0.3420000000000002,0.3663703174794232,0.3420000000000002,21.31484694321585,0.3420000000000002,11.04950947635145,0.3420000000000002,0.0530459012133255
0.3480000000000002,-2.698676351698811e-15,0.3480000000000002,-2.693860408360967e-15,0.3480000000000002,-3.258473633471562e-15,0.3480000000000002,-1.404246272180831e-15,0.3480000000000002,1.502221283727547e-05,0.3480000000000002,0.0003170759002920201,0.3480000000000002,2.876881026400145e-05,0.3480000000000002,0.3663703174794232,0.3480000000000002,21.10713672673044,0.3480000000000002,11.02151591888312,0.3480000000000002,0.05424193951030627
0.3540000000000002,-2.806717542023265e-15,0.3540000000000002,-2.694015223139525e-15,0.3540000000000002,-3.268258193311089e-15,0.3540000000000002,-1.40034342650062e-15,0.3540000000000002,1.703896757393971e-05,0.3540000000000002,0.0003558430323059998,0.3540000000000002,3.238106810613735e-05,0.3540000000000002,0.3663703174794232,0.3540000000000002,20.88407239254435,0.3540000000000002,10.98923084129381,0.3540000000000002,0.05553702325188776
0.3600000000000002,-2.91446246684811e-15,0.3600000000000002,-2.694174657161023e-15,0.3600000000000002,-3.277880544124817e-15,0.3600000000000002,-1.396472334577135e-15,0.3600000000000002,1.929965123932537e-05,0.3600000000000002,0.0003984267509334875,0.3600000000000002,3.638007703473292e-05,0.3600000000000002,0.3663703174794232,0.3600000000000002,20.64424615736012,0.3600000000000002,10.9517841469412,0.3600000000000002,0.05693411811964495
0.3660000000000002,-3.020694482720792e-15,0.3660000000000002,-2.694337857518101e-15,0.3660000000000002,-3.287238390558424e-15,0.3660000000000002,-1.392680799335841e-15,0.3660000000000002,2.182765826540841e-05,0.3660000000000002,0.000444988475549743,0.3660000000000002,4.079363676288423e-05,0.3660000000000002,0.3663703174794232,0.3660000000000002,20.38645053634816,0.3660000000000002,10.90828155715237,0.3660000000000002,0.05843556002467202
0.3720000000000002,-3.124315006083095e-15,0.3720000000000002,-2.694504048838507e-15,0.3720000000000002,-3.296243694243041e-15,0.3720000000000002,-1.389012114973989e-15,0.3720000000000002,2.464723452619494e-05,0.3720000000000002,0.0004956494701167806,0.3720000000000002,4.564905791381391e-05,0.3720000000000002,0.3663703174794232,0.3720000000000002,20.10973967859526,0.3720000000000002,10.85782473435868,0.3720000000000002,0.06004298616017625
0.3780000000000002,-3.224383427712427e-15,0.3780000000000002,-2.694672565470506e-15,0.3780000000000002,-3.304825316011059e-15,0.3780000000000002,-1.385503522659196e-15,0.3780000000000002,2.778320993508476e-05,0.3780000000000002,0.0005504821010248094,0.3780000000000002,5.09727725362391e-05,0.3780000000000002,0.3663703174794232,0.3780000000000002,19.81348095894095,0.3780000000000002,10.79953225289921,0.3780000000000002,0.0617572787061582
0.3840000000000002,-3.320141194838741e-15,0.3840000000000002,-2.694842872292207e-15,0.3840000000000002,-3.312930173706857e-15,0.3840000000000002,-1.382185274132902e-15,0.3840000000000002,3.126068045267935e-05,0.3840000000000002,0.0006095017874149228,0.3840000000000002,5.678996904759343e-05,0.3840000000000002,0.3663703174794232,0.3840000000000002,19.49739348571659,0.3840000000000002,10.73256065528269,0.3840000000000002,0.06357852372153625
0.3900000000000002,-3.411020404863715e-15,0.3900000000000002,-2.695014574295282e-15,0.3900000000000002,-3.320523052007441e-15,0.3900000000000002,-1.379080291917114e-15,0.3900000000000002,3.510464521215186e-05,0.3900000000000002,0.0006726601586025609,0.3900000000000002,6.312427506015446e-05,0.3900000000000002,0.3663703174794232,0.3900000000000002,19.16157119775959,0.3900000000000002,10.6561248895381,0.3900000000000002,0.06550598720983566
0.3960000000000002,-3.496639004055823e-15,0.3960000000000002,-2.695187416327797e-15,0.3960000000000002,-3.327585330972908e-15,0.3960000000000002,-1.376204347145384e-15,0.3960000000000002,3.933960751527308e-05,0.3960000000000002,0.0007398399127340493,0.3960000000000002,6.999751046193557e-05,0.3960000000000002,0.3663703174794232,0.3960000000000002,18.80648942542076,0.3960000000000002,10.5695175135746,0.3960000000000002,0.06753810965560166
