NM1:cdb X,NM1:cdb Y,NM1:cgd X,NM1:cgd Y,NM1:csb X,NM1:csb Y,NM1:id X,NM1:id Y,NM1:cgs X,NM1:cgs Y,NM1:gm X,NM1:gm Y,NM1:gds X,NM1:gds Y,NM1:self_gain X,NM1:self_gain Y,NM1:gmoverid X,NM1:gmoverid Y,NM1:vdsat X,NM1:vdsat Y,NM1:vth X,NM1:vth Y,NM1:vds X,NM1:vds Y,NM1:vgs X,NM1:vgs Y,NM1:cgd X,NM1:cgd Y
0.2240000000000001,-1.055526725258903e-15,0.2240000000000001,-4.332065847157629e-16,0.2240000000000001,-1.384654724379288e-15,0.2240000000000001,1.496847370764921e-09,0.2240000000000001,-8.544324016778824e-16,0.2240000000000001,4.031836795306963e-08,0.2240000000000001,5.01130970687194e-10,0.2240000000000001,80.45475197388339,0.2240000000000001,26.93552391478294,0.2240000000000001,0.04783578041277448,0.2240000000000001,0.5207519285322714,0.2240000000000001,0.7,0.2240000000000001,0.2240000000000001,0.2240000000000001,-4.332065847157629e-16
0.2320000000000002,-1.0555322007739e-15,0.2320000000000002,-4.347946724640949e-16,0.2320000000000002,-1.388936447370981e-15,0.2320000000000002,1.856285675059458e-09,0.2320000000000002,-8.679722786199332e-16,0.2320000000000002,4.987381025503655e-08,0.2320000000000002,6.205302227921415e-10,0.2320000000000002,80.37289470063853,0.2320000000000002,26.86752967152306,0.2320000000000002,0.04784565786900553,0.2320000000000002,0.5207519285322714,0.2320000000000002,0.7,0.2320000000000002,0.2320000000000002,0.2320000000000002,-4.347946724640949e-16
0.2400000000000002,-1.055537958795445e-15,0.2400000000000002,-4.364107752022525e-16,0.2400000000000002,-1.393401769171954e-15,0.2400000000000002,2.300724765861552e-09,0.2400000000000002,-8.820968893621437e-16,0.2400000000000002,6.164333305217153e-08,0.2400000000000002,7.6782156007373e-10,0.2400000000000002,80.28340991916434,0.2400000000000002,26.79300634510455,0.2400000000000002,0.04785786558871417,0.2400000000000002,0.5207519285322714,0.2400000000000002,0.7,0.2400000000000002,0.2400000000000002,0.2400000000000002,-4.364107752022525e-16
0.2480000000000002,-1.05554400956539e-15,0.2480000000000002,-4.380556218092924e-16,0.2480000000000002,-1.398052823429316e-15,0.2480000000000002,2.849794608200928e-09,0.2480000000000002,-8.968211590889562e-16,0.2480000000000002,7.612220811438325e-08,0.2480000000000002,9.493232907777689e-10,0.2480000000000002,80.18575848067233,0.2480000000000002,26.71147179962316,0.2480000000000002,0.04787293876799712,0.2480000000000002,0.5207519285322714,0.2480000000000002,0.7,0.2480000000000002,0.2480000000000002,0.2480000000000002,-4.380556218092924e-16
0.2560000000000002,-1.055550363246346e-15,0.2560000000000002,-4.397299665226569e-16,0.2560000000000002,-1.402891097585928e-15,0.2560000000000002,3.52749408375432e-09,0.2560000000000002,-9.121581017577528e-16,0.2560000000000002,9.39105137711248e-08,0.2560000000000002,1.172717313066027e-09,0.2560000000000002,80.07941276623534,0.2560000000000002,26.62244407446661,0.2560000000000002,0.04789153017463618,0.2560000000000002,0.5207519285322714,0.2560000000000002,0.7,0.2560000000000002,0.2560000000000002,0.2560000000000002,-4.397299665226569e-16
0.2640000000000002,-1.055557029872643e-15,0.2640000000000002,-4.414345894271208e-16,0.2640000000000002,-1.407917365349932e-15,0.2640000000000002,4.363108463461511e-09,0.2640000000000002,-9.281185742501943e-16,0.2640000000000002,1.157334197628587e-07,0.2640000000000002,1.447321357592141e-09,0.2640000000000002,79.96387198721393,0.2640000000000002,26.52545104665138,0.2640000000000002,0.04791443404236014,0.2640000000000002,0.5207519285322714,0.2640000000000002,0.7,0.2640000000000002,0.2640000000000002,0.2640000000000002,-4.414345894271208e-16
0.2720000000000002,-1.055564019299484e-15,0.2720000000000002,-4.431702967516014e-16,0.2720000000000002,-1.413131620400832e-15,0.2720000000000002,5.392302419518644e-09,0.2720000000000002,-9.447110285819331e-16,0.2720000000000002,1.424648573844894e-07,0.2720000000000002,1.784408952366969e-09,0.2720000000000002,79.8386811473422,0.2720000000000002,26.42004221869074,0.2720000000000002,0.04794261413371186,0.2720000000000002,0.5207519285322714,0.2720000000000002,0.7,0.2720000000000002,0.2720000000000002,0.2720000000000002,-4.431702967516014e-16
0.2800000000000002,-1.055571341150944e-15,0.2800000000000002,-4.449379209247916e-16,0.2800000000000002,-1.418533012577392e-15,0.2800000000000002,6.658417389908582e-09,0.2800000000000002,-9.619412658603116e-16,0.2800000000000002,1.751550141263842e-07,0.2800000000000002,2.197583734038985e-09,0.2800000000000002,79.70345403151629,0.2800000000000002,26.30580272515579,0.2800000000000002,0.04797723645654164,0.2800000000000002,0.5207519285322714,0.2800000000000002,0.7,0.2800000000000002,0.2800000000000002,0.2800000000000002,-4.449379209247916e-16
0.2880000000000002,-1.055579004767568e-15,0.2880000000000002,-4.467383203347283e-16,0.2880000000000002,-1.424119787907672e-15,0.2880000000000002,8.21400578700943e-09,0.2880000000000002,-9.798121962213098e-16,0.2880000000000002,2.150621346480619e-07,0.2880000000000002,2.703215311241513e-09,0.2880000000000002,79.55790045791423,0.2880000000000002,26.1823695305367,0.2880000000000002,0.04801970708692971,0.2880000000000002,0.5207519285322714,0.2880000000000002,0.7,0.2880000000000002,0.2880000000000002,0.2880000000000002,-4.467383203347283e-16
0.2960000000000002,-1.055587019154429e-15,0.2960000000000002,-4.485723787316196e-16,0.2960000000000002,-1.429889233934314e-15,0.2960000000000002,1.012263860311401e-08,0.2960000000000002,-9.983236094688112e-16,0.2960000000000002,2.636891640659198e-07,0.2960000000000002,3.320944513586007e-09,0.2960000000000002,79.40185781098288,0.2960000000000002,26.04944961457043,0.2960000000000002,0.04807171547783713,0.2960000000000002,0.5207519285322714,0.2960000000000002,0.7,0.2960000000000002,0.2960000000000002,0.2960000000000002,-4.485723787316196e-16
